state_name,place,lon,lat,county
California,Idlewild,-118.67039070062697,35.8095940103764,Tulare
California,Idyllwild-Pine Cove,-116.72574480906952,33.74432518246323,Riverside
California,Imperial,-115.57191168675088,32.83899352935378,Imperial
California,Imperial Beach,-117.11835277562977,32.56891687616034,San Diego
California,Independence,-118.21320752961228,36.82740293269329,Inyo
California,Indian Falls,-120.98031976724992,40.05874122880394,Plumas
California,Indian Wells,-116.33958181153845,33.703577227503764,Riverside
California,Indianola,-124.08075470362749,40.81331363183704,Humboldt
California,Indio,-116.23462379193944,33.73461393380724,Riverside
California,Indio Hills,-116.24844284531227,33.841065940591406,Riverside
California,Industry,-117.9267358311418,34.017492969648934,Los Angeles
California,Inglewood,-118.34428816471872,33.956433781757,Los Angeles
California,Interlaken,-121.7362900036401,36.95052879425982,Santa Clara
California,Inverness,-122.8471014521591,38.08204928882569,Marin
California,Inyokern,-117.82121499688846,35.65461606431105,Kern
California,Ione,-120.94223605446159,38.36129738355145,Amador
California,Iron Horse,-120.48233750765756,39.78047821783705,Plumas
California,Irvine,-117.77376654024066,33.67718451913494,Orange
California,Irwindale,-117.96363203445438,34.1121187350969,Los Angeles
California,Isla Vista,-119.85814628239643,34.414353043427965,Santa Barbara
California,Isleton,-121.60725916647446,38.16231480448431,Sacramento
California,Ivanhoe,-119.220169555057,36.388560331000626,Tulare
California,Jackson,-120.77278432630929,38.348522478627096,Amador
California,Jacumba,-116.18264902273242,32.62778679142733,San Diego
California,Jamestown,-120.41097616827979,37.957362246798965,Tuolumne
California,Jamul,-116.87085684627694,32.71840869417235,San Diego
California,Janesville,-120.53354244732022,40.28089725079809,Lassen
California,Jenner,-123.12033555101385,38.4510656330697,Sonoma
California,Johannesburg,-117.64203891318844,35.37176704705408,Kern
California,Johnstonville,-120.58463928363662,40.378932550427805,Lassen
California,Johnsville,-120.7130398628917,39.76629510544681,Plumas
California,Joshua Tree,-116.31284076545555,34.12364235349087,San Bernardino
California,Julian,-116.58891143452446,33.0734920092746,San Diego
California,Junction City,-123.06146225857151,40.72742405088528,Trinity
